Video File,Meta File,TimeStamp,Exposure,Gain,Gamma,Binning,Capture Area,
2025-01-16-0036_0-Jupiter_656HIA.avi,2025-01-16-0036_0-Jupiter_656HIA.CameraSettings.txt,2025-01-16T00:35:01.0467259Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0038_0-Jupiter_632OI.avi,2025-01-16-0038_0-Jupiter_632OI.CameraSettings.txt,2025-01-16T00:37:04.6618275Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0040_1-Jupiter_620CH4.avi,2025-01-16-0040_1-Jupiter_620CH4.CameraSettings.txt,2025-01-16T00:39:06.3872460Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0042_1-Jupiter_647NH3.avi,2025-01-16-0042_1-Jupiter_647NH3.CameraSettings.txt,2025-01-16T00:41:08.1458157Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0044_1-Jupiter_647NH3.avi,2025-01-16-0044_1-Jupiter_647NH3.CameraSettings.txt,2025-01-16T00:43:08.3375834Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0046_1-Jupiter_620CH4.avi,2025-01-16-0046_1-Jupiter_620CH4.CameraSettings.txt,2025-01-16T00:45:10.0054748Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0048_1-Jupiter_632OI.avi,2025-01-16-0048_1-Jupiter_632OI.CameraSettings.txt,2025-01-16T00:47:11.5477536Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0050_2-Jupiter_656HIA.avi,2025-01-16-0050_2-Jupiter_656HIA.CameraSettings.txt,2025-01-16T00:49:15.0585765Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0052_0-Jupiter_685NIR.avi,2025-01-16-0052_0-Jupiter_685NIR.CameraSettings.txt,2025-01-16T00:51:17.7487818Z,0.01,60.0,No Gamma,2,640x640,
2025-01-16-0053_6-Jupiter_550GRN.avi,2025-01-16-0053_6-Jupiter_550GRN.CameraSettings.txt,2025-01-16T00:52:51.0867286Z,0.01,60.0,No Gamma,2,640x640,
2025-01-16-0055_1-Jupiter_450BLU.avi,2025-01-16-0055_1-Jupiter_450BLU.CameraSettings.txt,2025-01-16T00:54:23.6414235Z,0.01,60.0,No Gamma,2,640x640,
2025-01-16-0056_9-Jupiter_656HIA.avi,2025-01-16-0056_9-Jupiter_656HIA.CameraSettings.txt,2025-01-16T00:55:55.3276520Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0058_9-Jupiter_632OI.avi,2025-01-16-0058_9-Jupiter_632OI.CameraSettings.txt,2025-01-16T00:57:58.8293906Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0101_0-Jupiter_620CH4.avi,2025-01-16-0101_0-Jupiter_620CH4.CameraSettings.txt,2025-01-16T01:00:00.5857627Z,0.05,60.0,No Gamma,2,640x640,
2025-01-16-0103_0-Jupiter_647NH3.avi,2025-01-16-0103_0-Jupiter_647NH3.CameraSettings.txt,2025-01-16T01:02:02.3281297Z,0.05,60.0,No Gamma,2,640x640,
