Video File,Meta File,TimeStamp,Exposure,Gain,Gamma,Binning,Capture Area,
2025-01-17-0036_5-Jupiter_656HIA.avi,2025-01-17-0427_2-Jupiter_656HIA.CameraSettings.txt,2025-01-17T04:27:15.2951134Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0427_2-Jupiter_656HIA.avi,2025-01-17-0426_4-Jupiter_450BLU.CameraSettings.txt,2025-01-17T04:25:43.4592504Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0426_4-Jupiter_450BLU.avi,2025-01-17-0424_9-Jupiter_550GRN.CameraSettings.txt,2025-01-17T04:24:10.8171625Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0424_9-Jupiter_550GRN.avi,2025-01-17-0423_3-Jupiter_685NIR.CameraSettings.txt,2025-01-17T04:22:37.4380056Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0423_3-Jupiter_685NIR.avi,2025-01-17-0421_5-Jupiter_656HIA.CameraSettings.txt,2025-01-17T04:20:34.8172731Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0421_5-Jupiter_656HIA.avi,2025-01-17-0419_5-Jupiter_632OI.CameraSettings.txt,2025-01-17T04:18:31.3187521Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0419_5-Jupiter_632OI.avi,2025-01-17-0417_4-Jupiter_620CH4.CameraSettings.txt,2025-01-17T04:16:29.5452789Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0417_4-Jupiter_620CH4.avi,2025-01-17-0415_4-Jupiter_647NH3.CameraSettings.txt,2025-01-17T04:14:27.8510226Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0415_4-Jupiter_647NH3.avi,2025-01-17-0413_4-Jupiter_647NH3.CameraSettings.txt,2025-01-17T04:12:27.6360747Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0413_4-Jupiter_647NH3.avi,2025-01-17-0411_4-Jupiter_620CH4.CameraSettings.txt,2025-01-17T04:10:25.8442710Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0411_4-Jupiter_620CH4.avi,2025-01-17-0409_4-Jupiter_632OI.CameraSettings.txt,2025-01-17T04:08:24.0566770Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0409_4-Jupiter_632OI.avi,2025-01-17-0407_3-Jupiter_656HIA.CameraSettings.txt,2025-01-17T04:06:20.6391202Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0407_3-Jupiter_656HIA.avi,2025-01-17-0405_5-Jupiter_450BLU.CameraSettings.txt,2025-01-17T04:04:48.8889862Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0405_5-Jupiter_450BLU.avi,2025-01-17-0404_0-Jupiter_550GRN.CameraSettings.txt,2025-01-17T04:03:16.3350791Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0404_0-Jupiter_550GRN.avi,2025-01-17-0402_4-Jupiter_685NIR.CameraSettings.txt,2025-01-17T04:01:42.9324690Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0402_4-Jupiter_685NIR.avi,2025-01-17-0400_6-Jupiter_656HIA.CameraSettings.txt,2025-01-17T03:59:40.3873577Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0400_6-Jupiter_656HIA.avi,2025-01-17-0358_6-Jupiter_632OI.CameraSettings.txt,2025-01-17T03:57:36.9125089Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0358_6-Jupiter_632OI.avi,2025-01-17-0356_5-Jupiter_620CH4.CameraSettings.txt,2025-01-17T03:55:35.0178832Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0356_5-Jupiter_620CH4.avi,2025-01-17-0354_5-Jupiter_647NH3.CameraSettings.txt,2025-01-17T03:53:33.3360091Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0354_5-Jupiter_647NH3.avi,2025-01-17-0352_5-Jupiter_647NH3.CameraSettings.txt,2025-01-17T03:51:33.0694745Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0352_5-Jupiter_647NH3.avi,2025-01-17-0350_5-Jupiter_620CH4.CameraSettings.txt,2025-01-17T03:49:31.3636537Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0350_5-Jupiter_620CH4.avi,2025-01-17-0348_4-Jupiter_632OI.CameraSettings.txt,2025-01-17T03:47:29.5329305Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0348_4-Jupiter_632OI.avi,2025-01-17-0346_4-Jupiter_656HIA.CameraSettings.txt,2025-01-17T03:45:26.1403202Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0346_4-Jupiter_656HIA.avi,2025-01-17-0344_6-Jupiter_450BLU.CameraSettings.txt,2025-01-17T03:43:54.4134383Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0344_6-Jupiter_450BLU.avi,2025-01-17-0343_1-Jupiter_550GRN.CameraSettings.txt,2025-01-17T03:42:21.8207010Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0343_1-Jupiter_550GRN.avi,2025-01-17-0341_5-Jupiter_685NIR.CameraSettings.txt,2025-01-17T03:40:48.4291798Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0341_5-Jupiter_685NIR.avi,2025-01-17-0339_7-Jupiter_656HIA.CameraSettings.txt,2025-01-17T03:38:45.8375783Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0339_7-Jupiter_656HIA.avi,2025-01-17-0337_7-Jupiter_632OI.CameraSettings.txt,2025-01-17T03:36:42.3287302Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0337_7-Jupiter_632OI.avi,2025-01-17-0335_6-Jupiter_620CH4.CameraSettings.txt,2025-01-17T03:34:40.5309918Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0335_6-Jupiter_620CH4.avi,2025-01-17-0333_6-Jupiter_647NH3.CameraSettings.txt,2025-01-17T03:32:38.8262591Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0333_6-Jupiter_647NH3.avi,2025-01-17-0331_6-Jupiter_647NH3.CameraSettings.txt,2025-01-17T03:30:38.5479772Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0331_6-Jupiter_647NH3.avi,2025-01-17-0329_6-Jupiter_620CH4.CameraSettings.txt,2025-01-17T03:28:36.8108120Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0329_6-Jupiter_620CH4.avi,2025-01-17-0327_5-Jupiter_632OI.CameraSettings.txt,2025-01-17T03:26:35.0220339Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0327_5-Jupiter_632OI.avi,2025-01-17-0325_5-Jupiter_656HIA.CameraSettings.txt,2025-01-17T03:24:31.6529926Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0325_5-Jupiter_656HIA.avi,2025-01-17-0323_7-Jupiter_450BLU.CameraSettings.txt,2025-01-17T03:22:59.8558446Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0323_7-Jupiter_450BLU.avi,2025-01-17-0322_2-Jupiter_550GRN.CameraSettings.txt,2025-01-17T03:21:27.2900098Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0322_2-Jupiter_550GRN.avi,2025-01-17-0320_6-Jupiter_685NIR.CameraSettings.txt,2025-01-17T03:19:53.9065023Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0320_6-Jupiter_685NIR.avi,2025-01-17-0318_8-Jupiter_656HIA.CameraSettings.txt,2025-01-17T03:17:51.2762771Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0318_8-Jupiter_656HIA.avi,2025-01-17-0316_7-Jupiter_632OI.CameraSettings.txt,2025-01-17T03:15:47.8568068Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0316_7-Jupiter_632OI.avi,2025-01-17-0314_7-Jupiter_620CH4.CameraSettings.txt,2025-01-17T03:13:46.2250451Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0314_7-Jupiter_620CH4.avi,2025-01-17-0312_7-Jupiter_647NH3.CameraSettings.txt,2025-01-17T03:11:44.5795531Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0312_7-Jupiter_647NH3.avi,2025-01-17-0310_7-Jupiter_647NH3.CameraSettings.txt,2025-01-17T03:09:44.2796227Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0310_7-Jupiter_647NH3.avi,2025-01-17-0308_7-Jupiter_620CH4.CameraSettings.txt,2025-01-17T03:07:42.5301661Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0308_7-Jupiter_620CH4.avi,2025-01-17-0306_6-Jupiter_632OI.CameraSettings.txt,2025-01-17T03:05:40.7618073Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0306_6-Jupiter_632OI.avi,2025-01-17-0304_6-Jupiter_656HIA.CameraSettings.txt,2025-01-17T03:03:37.3092098Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0304_6-Jupiter_656HIA.avi,2025-01-17-0302_8-Jupiter_450BLU.CameraSettings.txt,2025-01-17T03:02:05.5850989Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0302_8-Jupiter_450BLU.avi,2025-01-17-0301_3-Jupiter_550GRN.CameraSettings.txt,2025-01-17T03:00:33.0003105Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0301_3-Jupiter_550GRN.avi,2025-01-17-0259_7-Jupiter_685NIR.CameraSettings.txt,2025-01-17T02:58:59.6521611Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0259_7-Jupiter_685NIR.avi,2025-01-17-0257_9-Jupiter_656HIA.CameraSettings.txt,2025-01-17T02:56:57.0549177Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0257_9-Jupiter_656HIA.avi,2025-01-17-0255_8-Jupiter_632OI.CameraSettings.txt,2025-01-17T02:54:53.5023199Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0255_8-Jupiter_632OI.avi,2025-01-17-0253_8-Jupiter_620CH4.CameraSettings.txt,2025-01-17T02:52:51.7613714Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0253_8-Jupiter_620CH4.avi,2025-01-17-0251_8-Jupiter_647NH3.CameraSettings.txt,2025-01-17T02:50:50.0484869Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0251_8-Jupiter_647NH3.avi,2025-01-17-0249_8-Jupiter_647NH3.CameraSettings.txt,2025-01-17T02:48:49.7214263Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0249_8-Jupiter_647NH3.avi,2025-01-17-0247_8-Jupiter_620CH4.CameraSettings.txt,2025-01-17T02:46:47.9869492Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0247_8-Jupiter_620CH4.avi,2025-01-17-0245_7-Jupiter_632OI.CameraSettings.txt,2025-01-17T02:44:46.2504845Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0245_7-Jupiter_632OI.avi,2025-01-17-0243_7-Jupiter_656HIA.CameraSettings.txt,2025-01-17T02:42:42.9497315Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0243_7-Jupiter_656HIA.avi,2025-01-17-0240_2-Jupiter_450BLU.CameraSettings.txt,2025-01-17T02:39:28.3026198Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0240_2-Jupiter_450BLU.avi,2025-01-17-0238_6-Jupiter_550GRN.CameraSettings.txt,2025-01-17T02:37:55.7718932Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0238_6-Jupiter_550GRN.avi,2025-01-17-0237_1-Jupiter_685NIR.CameraSettings.txt,2025-01-17T02:36:22.3708319Z,0.01,60.0,No Gamma,2,640x640,
2025-01-17-0237_1-Jupiter_685NIR.avi,2025-01-17-0235_3-Jupiter_656HIA.CameraSettings.txt,2025-01-17T02:34:19.7826601Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0235_3-Jupiter_656HIA.avi,2025-01-17-0233_2-Jupiter_632OI.CameraSettings.txt,2025-01-17T02:32:16.2588301Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0233_2-Jupiter_632OI.avi,2025-01-17-0231_2-Jupiter_620CH4.CameraSettings.txt,2025-01-17T02:30:14.6879941Z,0.05,60.0,No Gamma,2,640x640,
2025-01-17-0231_2-Jupiter_620CH4.avi,2025-01-17-0229_2-Jupiter_647NH3.CameraSettings.txt,2025-01-17T02:28:13.0033472Z,0.05,60.0,No Gamma,2,640x640,
