Video File,Meta File,TimeStamp,Exposure,Gain,Gamma,Binning,Capture Area,
2025-10-17-0806_5-Jupiter_656HIA.avi,2025-10-17-0806_5-Jupiter_656HIA.CameraSettings.txt,2025-10-17T08:05:30.5157244Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0808_5-Jupiter_632OI.avi,2025-10-17-0808_5-Jupiter_632OI.CameraSettings.txt,2025-10-17T08:07:34.3759104Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0810_6-Jupiter_620CH4.avi,2025-10-17-0810_6-Jupiter_620CH4.CameraSettings.txt,2025-10-17T08:09:38.0024670Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0812_7-Jupiter_647NH3.avi,2025-10-17-0812_7-Jupiter_647NH3.CameraSettings.txt,2025-10-17T08:11:41.7196556Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0814_7-Jupiter_647NH3.avi,2025-10-17-0814_7-Jupiter_647NH3.CameraSettings.txt,2025-10-17T08:13:43.6554353Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0816_7-Jupiter_620CH4.avi,2025-10-17-0816_7-Jupiter_620CH4.CameraSettings.txt,2025-10-17T08:15:47.2646075Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0818_8-Jupiter_632OI.avi,2025-10-17-0818_8-Jupiter_632OI.CameraSettings.txt,2025-10-17T08:17:51.0346202Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0820_9-Jupiter_656HIA.avi,2025-10-17-0820_9-Jupiter_656HIA.CameraSettings.txt,2025-10-17T08:19:54.7724439Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0822_7-Jupiter_685NIR.avi,2025-10-17-0822_7-Jupiter_685NIR.CameraSettings.txt,2025-10-17T08:22:00.3174652Z,0.009,60.0,No Gamma,1,320x320,
2025-10-17-0824_3-Jupiter_550GRN.avi,2025-10-17-0824_3-Jupiter_550GRN.CameraSettings.txt,2025-10-17T08:23:33.9893646Z,0.006,60.0,No Gamma,1,320x320,
2025-10-17-0825_8-Jupiter_450BLU.avi,2025-10-17-0825_8-Jupiter_450BLU.CameraSettings.txt,2025-10-17T08:25:07.8564229Z,0.01,60.0,No Gamma,1,320x320,
2025-10-17-0827_6-Jupiter_656HIA.avi,2025-10-17-0827_6-Jupiter_656HIA.CameraSettings.txt,2025-10-17T08:26:41.5688231Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0829_7-Jupiter_632OI.avi,2025-10-17-0829_7-Jupiter_632OI.CameraSettings.txt,2025-10-17T08:28:45.2961396Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0831_8-Jupiter_620CH4.avi,2025-10-17-0831_8-Jupiter_620CH4.CameraSettings.txt,2025-10-17T08:30:48.9880187Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0833_8-Jupiter_647NH3.avi,2025-10-17-0833_8-Jupiter_647NH3.CameraSettings.txt,2025-10-17T08:32:52.7763904Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0835_8-Jupiter_647NH3.avi,2025-10-17-0835_8-Jupiter_647NH3.CameraSettings.txt,2025-10-17T08:34:53.0583809Z,0.05,60.0,No Gamma,1,320x320,
2025-10-17-0837_9-Jupiter_620CH4.avi,2025-10-17-0837_9-Jupiter_620CH4.CameraSettings.txt,2025-10-17T08:36:56.7219797Z,0.05,60.0,No Gamma,1,320x320,
